system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
0000000000000000096a_0,PR-RV-13948_2017-09-12,0.09,168.0,1286.0475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.37445834905328,38.89711019286873]}"
00000000000000000137_0,PS-LS-11929_2023-08-03,0.1,150.0,2164.2183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.07034269276747,42.74572643201063]}"
00000000000000000f44_0,PS-LS-11929_2023-08-03,0.1,150.0,2163.9219,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.06976777098564,42.74572643201063]}"
000000000000000004ca_0,KA-RV-1118_2021-07-19,0.1,163.0,1874.72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.31515173940657,38.13268880184722]}"
000000000000000002ad_0,RA-TR-22698_2022-07-23,0.1,222.0,1996.66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.25741651986364,41.96677029969207]}"
00000000000000000b7c_0,TU-LS-75538_2020-08-22,0.1,476.0,1603.5085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.4000428645776,41.52232881287394]}"
00000000000000000817_0,XE-RO-5085_2014-07-08,0.1,730.0,1913.2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.07718785523245,41.598766460399666]}"
00000000000000000b4a_0,NO-RO-9205_2015-06-23,0.1,750.0,1575.8158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.55064983083122,40.92307166999065]}"
000000000000000001b6_0,PC-TR-73106_2022-09-29,0.1,1494.0,356.5045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.48593111971398,45.032181375221526]}"
00000000000000000675_0,LS-RV-10697_2021-08-23,0.1,1679.0,1835.5442,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.85675908540435,40.42779452124419]}"
00000000000000000b6e_0,WE-RV-20056_2020-08-18,0.11,150.0,1634.9939,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.24943573291311,41.09223342114319]}"
0000000000000000014d_0,PR-RV-13180_2023-08-16,0.11,155.0,1235.4962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.20875511174461,38.730293044607734]}"
00000000000000000f5a_0,PR-RV-13180_2023-08-16,0.11,155.0,1235.2925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.20720102630308,38.7297181228259]}"
0000000000000000045f_0,RS-TR-16596_2021-07-10,0.11,161.0,2340.608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.99892205339812,42.44956984914211]}"
00000000000000000afa_0,BT-RV-1000_2019-06-30,0.11,163.0,1310.4738,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.25027149694905,43.82811550099908]}"
00000000000000000cb5_0,SW-TR-1500_2018-06-13,0.11,250.0,1670.0712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.8705887319088,38.03148460193832]}"
000000000000000002b8_0,SB-RV-10739_2022-07-12,0.11,356.0,478.4832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94675313762174,47.07177029520353]}"
00000000000000000cf6_0,SV-RV-16674_2017-09-22,0.11,478.0,2285.1965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.7339682038072,37.30246581626396]}"
000000000000000001f9_0,RA-TR-80174_2022-08-30,0.11,1020.0,1851.67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.88475058965751,41.0202963331909]}"
00000000000000000739_0,RN-RV-15289_2020-07-21,0.12,150.0,1975.5913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.80632325648288,41.67939924030223]}"
00000000000000000755_0,KS-LS-19729_2019-08-14,0.12,150.0,2036.4235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.67225884889176,41.58167152054287]}"
00000000000000000a54_0,RA-RV-16901_2017-07-10,0.12,150.0,1981.1293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.76046867009958,41.31136845155131]}"
00000000000000000cb0_0,TR-LS-19314_2017-06-29,0.12,150.0,2295.3079,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.46733500086755,37.68347726087042]}"
00000000000000000978_0,PR-RV-10492_2017-08-09,0.12,151.0,1394.6934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.27592214553822,39.24972589134416]}"
0000000000000000054e_0,ENO-RV-1101_2021-08-05,0.12,156.0,1652.2695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.27394177386388,41.15949926961806]}"
00000000000000000753_0,KS-RV-11793_2018-08-15,0.12,290.0,2070.5217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.48379230228348,41.751129715739175]}"
00000000000000000727_0,RS-RV-10921_2017-09-13,0.12,403.0,1953.401,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.60341637438782,41.968243536758024]}"
0000000000000000018d_0,SV-TR-4687_2023-08-15,0.12,777.0,2263.427,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.7705386190237,37.06418768715126]}"
00000000000000000f9a_0,SV-TR-4687_2023-08-15,0.12,777.0,2262.491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.76704417256848,37.059175087865874]}"
00000000000000000587_0,XS-RO-6088_2021-07-24,0.13,150.0,1641.0707,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.2553646137883,41.116604714801355]}"
000000000000000006e5_0,RA-SS-12185_2020-07-25,0.13,150.0,2161.365,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.19807838647655,41.46858260942506]}"
00000000000000000743_0,PS-LS-12953_2017-08-02,0.13,150.0,2089.2349,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.0675129996225,42.61160796009158]}"
00000000000000000827_0,XE-LS-5013_2013-08-07,0.13,150.0,2056.292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.03009800262805,42.67379832721118]}"
00000000000000000223_0,RA-TR-24249_2022-08-20,0.13,153.0,1995.91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.87024720668997,41.69643129808914]}"
00000000000000000560_0,ENO-LS-1065_2021-06-28,0.13,156.0,1805.8782,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.29695661144302,41.549287254550364]}"
0000000000000000096f_0,PR-RV-13180_2017-09-11,0.13,168.0,1235.6998,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.20881799381449,38.73038287613615]}"
000000000000000002ab_0,RA-LS-16274_2022-07-25,0.13,204.0,2048.4392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.08357454608083,42.070085540518654]}"
00000000000000000d79_0,NW-TR-1210_2019-07-25,0.13,249.0,2542.0632,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.45320433603749,40.43813413016441]}"
0000000000000000083d_0,OT-RO-7092_2013-08-19,0.13,2400.0,866.8846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.20321658449086,45.681708241404145]}"
00000000000000000143_0,RS-TR-29750_2023-08-31,0.14,150.0,2136.1445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.38721883495877,42.469997538702984]}"
00000000000000000301_0,BT-TR-19468_2022-07-20,0.14,150.0,1387.9956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.62628830857581,43.75148920726369]}"
00000000000000000304_0,SB-LS-19699_2022-07-08,0.14,150.0,542.87274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.2800101417244,47.29588199228567]}"
00000000000000000308_0,LA-TR-39692_2022-07-07,0.14,150.0,2134.0432,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.08047552376148,42.72290024064115]}"
00000000000000000324_0,RA-TR-23628_2022-07-10,0.14,150.0,2089.37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67737891518951,41.68518439073196]}"
00000000000000000421_0,NS-RV-1016_2022-04-16,0.14,150.0,381.10535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.4307830481893,36.53785577903279]}"
000000000000000006a6_0,RA-TR-94923_2020-07-27,0.14,150.0,1964.225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.2937309979296,42.01801918665109]}"
00000000000000000cbe_0,SW-TR-1363_2018-06-11,0.14,150.0,1721.0759,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.77371441166935,38.000735269762906]}"
00000000000000000f50_0,RS-TR-29750_2023-08-31,0.14,150.0,2135.8015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.3875512116139,42.4695214316024]}"
00000000000000000d30_0,FR-TR-1245_2017-09-13,0.14,336.0,2296.0562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.79946437117235,37.297929324079156]}"
00000000000000000b51_0,NC-LS-9156_2015-08-23,0.14,360.0,1230.6969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.7802459908392,38.89217844195891]}"
00000000000000000176_0,RA-TR-53006_2023-08-17,0.15,150.0,2229.9229,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.43286206913403,41.41205162859542]}"
