system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
0000000000000000011a_0,RA-TR-22698_2022-07-23,0.1,222.0,1996.4714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.25972287568445,41.9672255767038]}"
00000000000000000337_0,KA-RV-1118_2021-07-19,0.1,163.0,1876.2688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.3149967113489,38.134114259387275]}"
00000000000000000394_0,BO-RV-1033_2021-07-23,0.1,218.0,771.05963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.38095592461255,44.81686132098264]}"
000000000000000004e2_0,LS-RV-10697_2021-08-23,0.1,1679.0,1839.3774,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.85135789608742,40.43982009912193]}"
00000000000000000684_0,XE-RO-5085_2014-07-08,0.1,730.0,1913.0018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.0729814252434,41.597119679647896]}"
000000000000000008b0_0,XE-RO-5086_2013-08-21,0.1,200.0,1207.9575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.17097847417715,44.496162764552075]}"
000000000000000009b7_0,NO-RO-9205_2015-06-23,0.1,750.0,1575.2095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.55423179435549,40.925808667828214]}"
000000000000000009e9_0,TU-LS-75538_2020-08-22,0.1,476.0,1606.2484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.39685153085962,41.52489513080497]}"
00000000000000000066_0,RA-TR-80174_2022-08-30,0.11,1020.0,1854.2902,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.89160242081597,41.01806564750687]}"
00000000000000000125_0,SB-RV-10739_2022-07-12,0.11,356.0,476.87567,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94976916251703,47.07001571661378]}"
0000000000000000018b_0,BI-TR-27224_2022-07-07,0.11,182.0,1282.4792,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.40081326667342,37.464420215081624]}"
000000000000000002cc_0,RS-TR-16596_2021-07-10,0.11,161.0,2342.0605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.9981471877944,42.448812400518754]}"
000000000000000006f9_0,MP-RO-2061_2013-07-11,0.11,920.0,96.29056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.65326273292027,43.97792467714395]}"
000000000000000007f2_0,GWS-SR-37725_2018-08-06,0.11,748.0,1488.0059,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.29126746500259,39.92894819704595]}"
00000000000000000967_0,BT-RV-1000_2019-06-30,0.11,163.0,1314.3315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.24900255793906,43.82835518233823]}"
